Element Code,Element,Year Code,Year,Value,Flag
5312,Area harvested,2008,2008,13387900,A
5419,Yield,2008,2008,26537,Fc
5510,Production,2008,2008,35528100,A
5312,Area harvested,2009,2009,13674300,A
5419,Yield,2009,2009,27897,Fc
5510,Production,2009,2009,38147050,A
5312,Area harvested,2010,2010,13332376,A
5419,Yield,2010,2010,26110,Fc
5510,Production,2010,2010,34811258,A
5312,Area harvested,2011,2011,13308200,A
5419,Yield,2011,2011,29534,Fc
5510,Production,2011,2011,39304580,A
5312,Area harvested,2012,2012,12749240,A
5419,Yield,2012,2012,28626,Fc
5510,Production,2012,2012,36496350,A
5312,Area harvested,2013,2013,13363900,A
5419,Yield,2013,2013,30013,Fc
5510,Production,2013,2013,40109711,A
5312,Area harvested,2014,2014,13959878,A
5419,Yield,2014,2014,30012,Fc
5510,Production,2014,2014,41895811,A
5312,Area harvested,2015,2015,13961922,A
5419,Yield,2015,2015,29424,Fc
5510,Production,2015,2015,41081682,A
5312,Area harvested,2016,2016,14087724,A
5419,Yield,2016,2016,30207,Fc
5510,Production,2016,2016,42555022,A
5312,Area harvested,2017,2017,13928846,A
5419,Yield,2017,2017,31804,Fc
5510,Production,2017,2017,44299995,A
5312,Area harvested,2018,2018,13735791,A
5419,Yield,2018,2018,28872,Fc
5510,Production,2018,2018,39658364,A
5312,Area harvested,2019,2019,13893493,A
5419,Yield,2019,2019,28938,Fc
5510,Production,2019,2019,40205238,A
5312,Area harvested,2020,2020,14082566,A
5419,Yield,2020,2020,30208,Fc
5510,Production,2020,2020,42540915,A
